image_name,landmark_id,x,y,type
LACM ENT 592707_L.jpg,1,883,61,junction
LACM ENT 592707_L.jpg,2,582,78,junction
LACM ENT 592707_L.jpg,3,891,78,junction
LACM ENT 592707_L.jpg,4,861,91,junction
LACM ENT 592707_L.jpg,5,423,129,junction
LACM ENT 592707_L.jpg,6,733,137,junction
LACM ENT 592707_L.jpg,7,745,138,junction
LACM ENT 592707_L.jpg,8,183,146,junction
LACM ENT 592707_L.jpg,9,380,157,junction
LACM ENT 592707_L.jpg,10,457,162,junction
LACM ENT 592707_L.jpg,11,325,168,junction
LACM ENT 592707_L.jpg,12,884,182,junction
LACM ENT 592707_L.jpg,13,446,191,junction
LACM ENT 592707_L.jpg,14,745,194,junction
LACM ENT 592707_L.jpg,15,397,196,junction
LACM ENT 592707_L.jpg,16,531,214,junction
LACM ENT 592707_L.jpg,17,857,240,junction
LACM ENT 592707_L.jpg,18,297,248,junction
LACM ENT 592707_L.jpg,19,333,250,junction
LACM ENT 592707_L.jpg,20,368,314,junction
LACM ENT 592707_L.jpg,21,557,320,junction
LACM ENT 592707_L.jpg,22,560,336,junction
