image_name,landmark_id,x,y,type
LACM ENT 592724_R.jpg,1,379,125,junction
LACM ENT 592724_R.jpg,2,262,126,junction
LACM ENT 592724_R.jpg,3,265,133,junction
LACM ENT 592724_R.jpg,4,404,139,junction
LACM ENT 592724_R.jpg,5,438,155,junction
LACM ENT 592724_R.jpg,6,380,161,junction
LACM ENT 592724_R.jpg,7,214,175,junction
LACM ENT 592724_R.jpg,8,244,176,junction
LACM ENT 592724_R.jpg,9,378,218,junction
LACM ENT 592724_R.jpg,10,288,223,junction
LACM ENT 592724_R.jpg,11,320,226,junction
LACM ENT 592724_R.jpg,12,228,239,junction
LACM ENT 592724_R.jpg,13,130,242,junction
LACM ENT 592724_R.jpg,14,270,250,junction
LACM ENT 592724_R.jpg,15,529,255,junction
LACM ENT 592724_R.jpg,16,327,257,junction
LACM ENT 592724_R.jpg,17,300,290,junction
LACM ENT 592724_R.jpg,18,516,293,junction
LACM ENT 592724_R.jpg,19,512,293,junction
LACM ENT 592724_R.jpg,20,299,298,junction
LACM ENT 592724_R.jpg,21,420,309,junction
LACM ENT 592724_R.jpg,22,415,326,junction
