image_name,landmark_id,x,y,type
LACM ENTB 5335_R.jpg,1,441,36,junction
LACM ENTB 5335_R.jpg,2,770,249,junction
LACM ENTB 5335_R.jpg,3,792,253,junction
LACM ENTB 5335_R.jpg,4,529,266,junction
LACM ENTB 5335_R.jpg,5,771,305,junction
LACM ENTB 5335_R.jpg,6,450,329,junction
LACM ENTB 5335_R.jpg,7,408,333,junction
LACM ENTB 5335_R.jpg,8,577,398,junction
LACM ENTB 5335_R.jpg,9,767,410,junction
LACM ENTB 5335_R.jpg,10,229,450,junction
LACM ENTB 5335_R.jpg,11,442,452,junction
LACM ENTB 5335_R.jpg,12,1036,466,junction
LACM ENTB 5335_R.jpg,13,624,470,junction
LACM ENTB 5335_R.jpg,14,572,494,junction
LACM ENTB 5335_R.jpg,15,1011,511,junction
LACM ENTB 5335_R.jpg,16,1008,511,junction
LACM ENTB 5335_R.jpg,17,852,556,junction
LACM ENTB 5335_R.jpg,18,637,582,junction
LACM ENTB 5335_R.jpg,19,761,597,junction
LACM ENTB 5335_R.jpg,20,698,597,junction
LACM ENTB 5335_R.jpg,21,735,599,junction
LACM ENTB 5335_R.jpg,22,782,612,junction
