image_name,landmark_id,x,y,type
LACM ENTB 5367_L.jpg,1,554,175,junction
LACM ENTB 5367_L.jpg,2,801,190,junction
LACM ENTB 5367_L.jpg,3,865,214,junction
LACM ENTB 5367_L.jpg,4,689,215,junction
LACM ENTB 5367_L.jpg,5,922,256,junction
LACM ENTB 5367_L.jpg,6,460,267,junction
LACM ENTB 5367_L.jpg,7,712,272,junction
LACM ENTB 5367_L.jpg,8,712,280,junction
LACM ENTB 5367_L.jpg,9,486,288,junction
LACM ENTB 5367_L.jpg,10,643,307,junction
LACM ENTB 5367_L.jpg,11,970,362,junction
LACM ENTB 5367_L.jpg,12,519,391,junction
LACM ENTB 5367_L.jpg,13,801,429,junction
LACM ENTB 5367_L.jpg,14,12,440,junction
LACM ENTB 5367_L.jpg,15,1089,457,junction
LACM ENTB 5367_L.jpg,16,1072,501,junction
LACM ENTB 5367_L.jpg,17,758,506,junction
LACM ENTB 5367_L.jpg,18,1077,507,junction
LACM ENTB 5367_L.jpg,19,1066,565,junction
LACM ENTB 5367_L.jpg,20,753,570,junction
LACM ENTB 5367_L.jpg,21,1209,633,junction
LACM ENTB 5367_L.jpg,22,1012,637,junction
